"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_SKU";"VALUE";
"AMICA-NODEMCU";"ESP12E_DEVKIT";"ESP12E_DEVKIT";"ESP12E_DEVKIT";"ESP12E DEVKIT BOARD";"";"";"";
"D1";"MBR120";"DIODEDO-1N4148";"DO-1N4148";"Diode";"";"";"";
"D3";"RED";"LED5MM";"LED_5MM";"LED (Generic)";"";"";"";
"JP1";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";
"JP2";"";"PINHD-2X10";"2X10";"PIN HEADER";"";"";"";
"R1";"420k";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kO resistor";"RES-12182";"";"1k";
"R10";"1k";"1KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"1kO resistor";"RES-12182";"";"1k";
"S1";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";" SWCH-08441";"COM-00097";"";
"S2";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";" SWCH-08441";"COM-00097";"";
"S3";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";" SWCH-08441";"COM-00097";"";
"S4";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";" SWCH-08441";"COM-00097";"";
"S5";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";" SWCH-08441";"COM-00097";"";
"U$3";"OLED-0.96I2C-4PIN";"OLED-0.96I2C-4PIN";"OLED-I2C-4PIN";"Common 0.96 OLED screen assembly";"";"";"";
"U$31";"AAA3NOHOLES";"AAA3NOHOLES";"AAA3-NOHOLES";"";"";"";"";
